GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Spring boot docker example,com.github.egnaf.spring_docker_example.domain,User,89,129,22,10,0,8,18,12,2,12
Spring boot docker example,com.github.egnaf.spring_docker_example.service.impl,UserServiceImpl,46,63,5,5,4,17,5,5,0,5
Spring boot docker example,com.github.egnaf.spring_docker_example.transfer,UserDto,160,0,24,0,4,0,23,0,11,0
Spring boot docker example,com.github.egnaf.spring_docker_example.rest.error,ErrorHandlerController,36,3,0,0,6,1,3,1,3,1
Spring boot docker example,com.github.egnaf.spring_docker_example.rest.error,ErrorResponse,115,0,16,0,7,0,17,0,9,0
Spring boot docker example,com.github.egnaf.spring_docker_example.exception,UserNotFoundException,8,0,0,0,4,0,2,0,2,0
Spring boot docker example,com.github.egnaf.spring_docker_example.exception,UserExistsException,8,0,0,0,4,0,2,0,2,0
Spring boot docker example,com.github.egnaf.spring_docker_example,Application,5,3,0,0,2,1,1,1,1,1
Spring boot docker example,com.github.egnaf.spring_docker_example.rest,UserController,61,13,0,0,12,5,4,2,4,2
Spring boot docker example,com.github.egnaf.spring_docker_example.config,DozerConfig,0,7,0,0,0,2,0,2,0,2
